suurus_m2;hind_m2_eur;muugi_hind_eur
39;3539,84;137134
18;3748,48;64408
18;3396,85;53224
18;3359,88;55085
18;3154,7;58364
20;3363,27;59870
19;3779,89;81368
19;3441,17;59904
18;3311,18;60677
18;3447,29;72128
18;3446,87;65083
18;3169,43;60124
18;3272,51;52493
19;3205,34;67949
18;3385,01;63740
21;3396,86;63810
18;3579,46;62777
19;3530,75;70916
18;3301,14;53457
19;3361,26;60927
19;3228,47;57175
20;3615,77;77584
18;3345,83;59800
18;3023,91;54542
18;3009,26;48821
20;3277,71;61621
18;3507,74;58880
34;3762,7;125070
144;2883,71;409648
18;3384,92;68300
18;3572,48;62543
18;3345,02;63789
18;3264,2;65269
20;3667,31;71658
23;3580,26;83159
19;3337,07;70571
37;3423,43;133915
18;3395,64;58947
18;3419,9;60130
19;3528,14;65007
19;3136,95;60220
18;3455,14;62460
18;3347,94;57935
20;3850,35;81691
18;3312,9;55287
27;3238,21;88968
18;3554,2;63523
19;3677,79;62413
18;3281,35;59586
46;3390,4;157086
18;3263,3;55883
22;3278,34;67292
18;3685,53;60286
18;3370,33;57775
20;3771,74;77442
20;3336,92;61401
20;3318,18;53644
19;3321,72;63953
18;3419,81;53773
23;3703,68;84631
18;3368,44;63941
18;3140,22;59795
19;2929,07;59105
18;3464,2;65089
18;3522,87;65621
18;3610,43;56633
22;3261,3;74756
18;3233,96;60180
19;3423,39;67778
18;3376,56;63170
18;3314,57;56647
18;3570,59;63056
18;3576,75;58543
19;3478,47;71453
19;3299,4;58616
19;3289,85;56769
18;3485,53;63733
18;3533,7;69131
18;3113,93;51896
19;3086,16;58846
19;3377,52;64734
18;3514,44;66564
21;3553,81;76018
19;3170,55;59957
18;3602,77;64685
18;3283,88;61779
19;3656,8;65563
20;3534,56;71315
18;3352,25;54239
19;3502,97;69343
19;3389,75;61485
18;3449,02;64639
20;3311,59;59034
18;3443,58;67720
19;3535,21;69460
20;3487,75;65622
38;3267,59;122305
18;3266,79;54362
18;3713,12;66677
18;3344,85;58248
18;3329,68;63245
18;3519,48;57012
18;3363,14;64185
18;3287,77;65121
18;3656,04;63691
18;3384,01;60234
18;3582,95;59702
19;3754,7;76873
18;3471,38;57116
20;3394,59;68959
19;3060,89;63233
22;3709,12;82975
20;3482,59;64043
24;3205,33;72936
18;3584,12;59481
18;3563,55;61870
18;3598,29;61389
18;3561,75;65664
18;3754,34;63484
20;3757,59;75499
18;3256,23;53361
19;3264,58;58219
18;3110,87;56561
35;3302,79;113163
34;3174,95;105799
20;3446,43;62620
18;3339,55;55326
18;3574,14;69832
22;3169,63;65659
19;3382,63;66597
18;3218,11;56255
18;3433,25;61974
19;3320,13;56462
18;3451,41;60507
25;3385,1;88992
171;2738,96;464443
18;3815,3;74918
18;3506,46;61632
18;3270,42;58422
18;3535,39;58473
19;3392,53;55473
18;3219,08;53873
20;3746,7;74378
18;3692,45;70892
21;3426,28;61995
20;3347,59;70493
18;3491,06;64774
22;3368,63;74158
20;3464,08;67620
21;3337,5;65833
18;3369,87;60182
18;3167,77;51566
18;3475,53;59260
18;3467,49;49457
18;3674,37;70136
40;3186,71;122793
18;3320,02;64570
18;3498,65;55804
18;3290,3;64159
18;3451,06;60786
22;3338,82;71484
19;3221,34;56498
18;3487,89;62616
24;3280,74;82850
18;3477,89;61232
19;3410,94;72242
18;3426,87;60111
19;3337,66;62147
23;3193,4;77354
18;3304,56;55169
19;3297,15;65396
18;3398,3;59460
19;3674,84;66609
20;3618,77;81282
18;3481,22;62408
18;3455,83;60609
18;3236,9;62619
21;3527,89;73389
18;3327,02;56078
18;3592,59;66571
19;3376,83;66153
27;3010;82243
18;3221,89;63564
21;3806,69;81265
18;3472,15;62485
20;3606,92;76728
18;3175,56;61627
18;3369,48;62528
19;3511,45;65046
18;3533,02;66475
24;3274,93;81777
18;3541,08;66853
18;3182,6;60411
18;3217,36;57451
18;3059,01;57752
20;3513,92;71472
18;3225,94;54666
18;3280,75;62074
20;3468,14;62725
19;3695,05;75027
18;3405,41;67563
18;3689,34;63446
21;3253,95;67333
22;3454,17;77402
18;3655,76;61867
18;3248,94;57811
18;3796,55;64160
19;3577,4;59197
18;2959,57;53886
18;3620,09;69365
34;3095,48;107585
19;3447,65;63977
19;3459,53;61607
18;3084,33;54010
18;3283,65;49645
18;3010,64;54146
18;2847,92;56731
18;3393,26;66303
18;3847,66;73754
18;3704,39;60421
18;3308,04;64258
18;3138,71;62775
18;3331,07;59565
18;3366,78;62632
18;3666,45;63252
61;3096,57;191799
18;3388,45;60228
18;3583,85;62147
18;3482,24;57408
19;3425,29;59572
18;3582,83;70206
18;3334,43;60825
18;3379,2;65159
18;3445,57;67077
18;3474,49;62954
18;3292,43;63293
21;3588,17;73328
18;3282,86;53757
18;3233,45;59530
37;3469,66;126963
19;3253,67;59577
19;3597,48;68225
18;3191,02;53551
18;3612,74;63853
21;3346,33;78366
18;3250,68;61728
18;3386,35;63681
18;3214,56;54822
37;3501,8;127831
18;3452,59;61372
18;3478,41;72616
21;3242,97;66539
19;3539,7;66928
18;3245,01;59515
18;3687,25;74720
18;3063,26;54737
18;3421,39;65744
18;3473,43;73123
18;3648,86;67170
18;3180,89;61351
18;3539,01;60496
18;3247,64;61922
18;3455;62910
18;3339,89;53998
18;3080,4;60682
19;3502,22;62678
18;3506,91;65153
18;3108,45;62024
18;3388,79;55773
19;3123,34;64548
18;3450,33;60240
23;3190,83;73645
18;3322,54;53988
18;3322,93;53834
18;3468,57;62760
18;3512,32;61521
27;3292,64;87274
18;3545,04;64996
18;3258,08;56892
18;3039,07;57358
18;3565,94;65764
18;3635,64;69344
18;3188,17;61304
18;3587,51;67779
18;3452,62;59869
20;3850,33;77502
20;3369,14;67976
18;3536,61;59250
18;3667,73;76207
18;3510,88;72923
19;3374,41;66789
18;3358,66;56494
18;3604,13;65623
18;3285,88;56239
18;3610,49;57882
19;3448,86;60700
53;3235,67;179132
18;3543,43;69635
18;3330,34;59884
18;3738,84;61163
21;3673,76;76846
18;3815,14;64556
18;3490,94;63153
19;3288,08;61744
18;3415,22;64149
52;2725,54;141822
19;3319,56;67376
19;3688,16;69840
18;3392,72;53258
18;3284,55;60977
18;3640,4;63634
18;3644,63;60587
18;3364,53;59888
20;3277,84;64355
18;3788,96;67776
19;3309,03;67547
20;3328,6;61693
18;3395,88;60282
18;3633,95;61892
18;3237,58;67263
19;3415,04;67491
18;3454,18;58554
18;3078;57253
18;3241,65;59219
18;3340,97;48941
21;3363,42;71412
38;3141,33;131138
18;3345,87;67897
23;3570,67;80653
20;3313,14;65303
18;3212,2;65133
20;3238,91;75371
18;3297,28;68484
18;3291,09;57524
18;3255,24;59557
18;3257,08;60759
18;3361,77;57133
23;3074,7;72889
18;3529,04;64892
18;3264,34;60620
18;3139,04;58932
19;3663,7;67731
24;3081,05;73198
18;3262,63;61986
18;3265,88;53530
18;3397,82;56660
18;3235,25;60117
19;3473,93;61218
19;3563,08;68035
18;3537,76;56182
22;3231;73374
18;3240,91;51228
19;3620,21;67528
18;3375,29;66422
18;3379,6;66046
19;3220,84;59875
18;3452,49;59542
18;3565,26;67233
18;3650,64;69990
21;3335,4;66323
18;3410,57;63201
22;3206,93;65741
18;3114,07;65695
18;3322,69;53018
18;3408,87;64897
18;3500,94;60320
19;3443,51;66437
18;3612,95;62229
19;3601,3;61044
20;3254,78;64701
18;3325;56333
147;3014,29;443279
18;3459,11;64118
18;3203,97;59614
18;3623,36;63930
21;3073,55;62499
19;3349,49;63704
18;3306,64;67922
19;3454,3;65896
18;3144,32;58360
19;3248,47;64960
18;3281,49;56980
18;3430,45;64328
18;3415,26;54605
18;3534,23;65097
18;3273,67;60122
18;3267,13;67171
23;3092,21;71577
119;2836,6;337127
26;3249,58;82702
27;3432,07;96411
19;3294,95;66654
18;3406,41;61116
18;3626,86;67298
18;3581,44;64779
18;3338,64;61364
37;3276,7;128529
24;3239,84;74610
18;3543,9;62431
18;3795,34;63642
19;3592,14;64659
24;3503,18;81019
18;3470,38;61724
50;3393,63;170837
21;3192,65;66241
18;3416,83;66657
19;3578,72;74724
44;3269,14;145937
28;3519,83;100308
18;3300,49;58465
21;3618,33;73812
18;3323,49;61391
18;3392,15;61489
18;3475,82;67193
18;3593,18;76543
20;3491,19;68013
20;3581,01;69188
18;3134,15;59503
21;3563,88;73430
18;3305,04;67613
21;3516,07;76109
19;3422,25;66523
18;3343,22;58460
18;3263,71;60192
18;3256,91;59052
42;3435,55;151092
18;3390,46;68234
34;3244,53;105866
18;3578,6;66949
18;3157,58;62431
19;3367,58;59453
18;3421,77;63075
19;3145;52043
18;3613,66;71691
22;3605,22;72336
18;3206,88;56352
18;3031,78;55479
18;3346,47;58797
19;3288,06;56932
18;3354,85;57484
42;3238,42;137541
18;3293,21;59236
18;3080,88;54921
20;3168,8;64239
18;3469,6;65602
19;3332,8;60570
18;3409,27;58364
87;3158,82;277476
21;3349,64;72047
19;2956,13;52931
18;3211,48;57880
19;3155,12;63494
18;3496,63;64321
18;3415,53;63433
18;3377,61;61189
18;2859,59;54721
34;3425,14;123640
18;3550,24;67914
20;3245,91;67725
19;3356,72;68007
18;3403,53;56135
19;3625,09;62509
18;3656,62;64793
18;3500,83;59572
18;3393,24;53872
18;3051,1;57878
18;3353,06;58788
18;3149,1;54859
19;3432,55;54944
18;3470,53;62671
21;3170,17;69155
18;3318,41;65207
21;3235,68;70296
18;3772,87;60476
20;3523,23;63516
18;3352,08;68536
18;3557,87;58826
22;3297,59;71545
19;3602,69;73609
19;3497,38;69058
18;3771,3;70401
19;3377,62;64788
19;3434,22;68435
20;3102,41;63351
20;3156,16;58001
104;2983,1;303513
18;3360,12;52334
18;3565,05;65023
20;3004,13;54993
21;3169,63;58986
18;3368,3;53500
21;3202,82;60192
21;2913,14;55417
19;3695,05;76695
21;3374,09;68679
18;3541,39;53548
18;3572,64;67907
18;3530,41;57388
18;3804,67;61162
18;3553;71205
18;3763,4;69473
18;3324,48;59407
18;3424,61;59869
18;3378,23;64543
18;3130,63;58226
18;3649,1;69364
111;3301,64;365866
18;3206,03;55719
18;3468,67;71311
24;3222,5;77828
19;3140,75;57966
18;3626,1;69862
22;3000,41;64874
18;3343,31;62271
18;3346,17;67731
18;3355,47;62149
18;3469,82;59885
18;3104,65;53097
18;2922,86;52678
23;3180,81;74516
21;3196,4;66777
24;3069,91;76868
18;3484,05;60847
18;3290;61642
18;3521,85;64891
18;3619,6;61236
142;2766,93;394168
26;3477,03;91832
22;3454,84;75036
18;3439,36;61428
18;3371,22;66607
45;3100,26;136436
58;3169,11;184624
18;3277,01;59704
18;3565,72;64878
18;3384,61;64350
21;3300,87;67028
18;3362,51;60168
26;3346,46;85278
18;3264,51;66380
19;3174,09;59977
18;3513,6;61335
18;3234,24;59771
18;3281,22;55937
18;3411,33;60098
18;3320,01;61456
18;3535,65;60743
19;2907,45;55127
18;3224,5;57090
20;3259,76;68242
24;3293,64;79658
22;3490,47;78394
25;3564,25;96557
18;3706,98;63136
24;3283,61;75631
18;3290,1;54252
18;3155,8;64431
20;3577,5;64147
21;3338,61;67702
18;3484,73;57337
25;3554;93093
18;3504,44;69281
18;3714,43;76071
23;3127,8;74431
18;3305,95;51681
27;3711,6;104626
37;3416,11;127194
18;3330,06;65554
44;3135,47;139919
18;3427,33;59038
19;3153,78;57032
18;3318,1;56776
19;3284,85;60732
26;3138,46;85329
18;3582,04;64159
23;3224,28;76536
18;3404,44;56874
18;3156,48;48123
18;3639,25;67651
18;3272,81;66697
21;3438,23;71946
18;3796,05;63804
22;3124,29;71652
22;3242;65949
19;3225,37;60536
18;3614,42;61897
18;3534,98;67374
18;3312,61;53548
21;3363,16;69623
25;3568,75;101476
18;3485,85;62240
18;3757,62;75759
18;3247,99;63952
28;3109,94;87039
18;3657,91;65539
18;3489,19;64470
18;3340,89;61582
41;3451,66;148040
18;3497,85;62023
18;3572,79;62519
19;3493,9;65082
18;3408,11;62890
26;2937,14;73070
27;3567,7;94317
18;3386,59;54907
21;3241,39;57276
19;3693,39;73150
18;3198,02;57345
21;3294,28;61978
18;3575,77;63322
18;3189,94;56259
18;3768,23;62729
18;3299,67;67762
18;3554,44;63338
24;3622,77;86087
18;3563,4;65248
18;3471,66;64499
19;3381,78;65638
18;3557,14;66980
18;3307,89;55550
18;3537,31;60823
18;3616,28;69575
18;3524,88;63941
18;3454,68;64103
18;3315,23;64307
20;3555,94;73593
20;3759,93;78116
22;3203,11;68433
21;3501,18;75601
18;3667,67;64235
18;3526,35;56706
20;3118,02;61287
18;3392,94;64031
19;3613,83;72246
20;3279,12;70891
22;3372,09;74379
18;3309,15;60597
18;3668,87;58728
19;3610,26;67027
18;3563,95;63272
19;3313,11;67842
18;3526,1;60778
25;3527,34;85389
18;3293,51;53590
23;3558,95;83668
19;3652,86;68997
18;3339,82;56074
18;3195,03;57072
18;3478,96;60061
18;3303,18;63964
30;3213,19;106799
18;3722,38;69759
18;3537,65;64900
18;3539,22;54895
18;3557,86;57296
18;3485,14;58433
18;3213,18;49126
18;3606,93;71228
18;3585,91;66145
18;3542,28;63019
22;3309,22;68534
24;3291,61;86556
21;3446,7;68051
18;3427,7;61818
18;3368,13;62026
18;3240,32;54192
19;3349,98;64839
18;3266,2;55017
18;3305,98;61092
21;3273,9;65333
22;3154,04;58714
18;3304,66;54593
18;3449,88;60129
18;3612,66;64901
22;3154,14;76221
19;3319,78;64524
20;3195,97;65954
18;3315,28;60621
18;3893,4;63615
19;3635,63;63602
20;3170,47;67261
18;3230,58;56255
19;3327,56;65153
18;3495,56;66932
18;3207,05;53066
18;3260,02;57260
19;3231,31;52008
41;3491,26;144919
18;3177,85;58092
18;3160,26;43973
18;3164,58;61829
19;3622,22;72679
19;3231,49;60416
19;3119,8;58804
18;3377,53;55973
20;3483,6;70684
19;3475,92;61598
18;3367,17;63076
19;3369,4;65064
18;3445;66327
18;3467,49;64305
18;3428,87;59750
18;3416,7;58152
19;3629,23;63582
22;3557,65;76815
23;3178,21;69688
19;3268,44;76288
18;3359,07;60535
32;3264,41;99668
35;3453,27;120171
18;3333,85;56020
18;3285,87;59283
18;3242,08;54317
18;3220,09;54990
19;3707,16;69200
18;3644,64;57588
18;3389,3;61659
19;3200,38;57212
20;3627,16;66004
25;3415,23;86912
18;3450,78;68892
19;3595,54;60664
21;3347,69;66863
18;3251,87;58576
19;3411,28;59111
18;3327,64;64121
19;3915,89;71939
19;3208,7;66680
20;3366,41;72787
21;3215,82;76716
18;3566,98;57184
18;3493,44;58688
18;3484,57;72482
18;3276,57;56183
18;3452,61;61686
18;3446,43;56527
18;3045,42;58990
21;3390,52;75313
18;3426,75;64081
19;3437,17;67894
21;3289,53;67640
18;3371,35;56235
18;3201,2;46681
20;3402,78;73002
18;3225,52;55394
18;3103,95;62390
19;3374,3;54075
18;3377,26;63842
19;3635,63;71882
18;3353,47;67598
24;3446,78;88730
18;3397,73;55368
19;3294,46;74509
21;3528,14;76655
18;3273,73;66526
18;3059,52;51086
18;3220,01;55571
18;3369,92;53421
18;3742,73;61748
20;2964,95;60029
18;3152,84;54483
18;3510,24;64263
19;3596,17;67478
19;3353,6;58728
64;3132,58;212426
18;3255,18;58460
18;3393,03;66766
19;3230,28;70298
18;3387,7;62164
19;3293,21;64867
18;3224,96;55756
18;3216,6;54576
20;3317,45;61158
21;3019,29;56905
18;3370,15;60917
20;3365,88;58611
19;3395,89;65023
18;3412,61;60170
18;3196,4;51513
18;3449,6;54952
18;3432,48;65134
18;3351,64;54527
18;3314,27;61950
18;3532,33;65953
20;3255,25;72101
19;3515,86;61125
20;3117,08;66479
18;3566,29;66814
18;3603,78;68052
18;3427,88;59974
18;3112,4;59958
20;3313,87;61615
18;3379,76;66277
19;3343,34;63061
21;3284,59;73171
18;3472,21;65988
19;3403,16;67434
23;3260,48;79318
81;2997,34;248326
18;3726,55;71818
22;3575,77;85039
18;3226,23;52395
18;3368,72;63011
18;3458,56;62724
22;3419,71;77591
18;3521,55;64169
19;3289,67;61698
19;3321,25;65033
20;3376,22;64025
20;3497,87;68378
20;2876,73;61496
22;3656,4;79168
18;3414,38;63256
18;3220,78;63295
69;3370,51;229291
18;3321,32;60384
25;3227,33;73264
19;3409,66;61164
18;3252,13;56319
18;3799,38;70230
18;3486,75;64456
23;3354,46;69418
25;3609,7;86035
22;3201,05;68478
19;3482,01;75495
19;3360,57;65017
18;3165,27;48945
18;3552,01;70142
18;3391,79;59923
108;3284,56;366299
18;3770,49;70978
18;3268,62;59259
29;3453,62;100474
18;3491,4;57871
19;3412,66;63898
18;3324,48;61653
31;3465,68;104968
18;3467,67;61159
20;3134,96;61524
26;3469,87;90199
19;3421,85;72755
18;3373,09;69801
19;3093,73;64260
27;3086,71;85808
18;3706,85;72341
23;3497,99;78289
18;3786,26;71249
18;3217,61;60237
22;3625,84;86647
18;3508,9;66149
18;3373,51;57643
23;3623,07;78580
21;3753,06;78002
18;3736,4;71622
18;3350,74;56893
20;3682,78;70374
18;3201,79;55012
18;3286,74;54009
26;3493,41;92325
18;3514,63;61606
20;3219,97;58272
19;3649,45;63577
19;3532,06;68648
19;3265,99;58188
18;3270,04;50613
18;3459,9;64691
18;3268,43;66579
24;3637,33;85998
18;3481,72;63414
28;3279,9;92476
18;3384,67;60116
19;3217,39;59361
18;3636,5;66006
18;3600,87;61428
18;3441,72;66271
18;3510,7;59941
18;3425,29;64443
19;3093,8;62308
31;3545,89;110535
18;3581,29;65766
18;3344,83;64267
18;3440,66;58272
18;3433,41;63349
19;3430,48;63734
18;3565,89;57026
21;3329,42;72981
27;3424,8;89591
18;3284,92;54359
18;3447,24;64141
19;3155,13;60755
18;3095,17;63311
22;3376,73;76841
18;3419,91;64700
18;3526,27;72407
18;3388,19;55366
18;3659,26;67570
21;3661,7;76304
18;3477,23;64368
19;3268,11;64944
18;3329,43;54446
34;3437,71;111685
18;3255,52;59625
18;3569,91;61752
30;3119,23;90781
18;3302,04;61114
20;3257,9;75040
44;3307,09;150750
18;3579,87;62742
18;3179,19;53306
18;3446,62;60102
18;3220,91;54591
32;3367,73;110255
18;3645,37;60118
18;3031,25;48833
18;3127,86;57511
18;3456,31;67445
18;3290,08;56354
18;3335,02;62830
20;3133,15;59638
41;3596,77;150166
23;3444,23;81851
18;3400,6;55553
26;3560,26;89753
19;3587,48;76648
18;3450,87;53611
21;3525,16;80043
18;3362,65;58810
20;3494,36;72166
20;3281,14;72941
19;3469,57;71358
18;3418,94;55322
18;3079,69;46846
18;3378,66;59108
23;3182,97;70641
18;3360,48;58843
19;3601,29;63743
18;3783,84;66979
20;3153,58;57866
19;3096,89;61443
22;3175,43;66767
18;3269,32;65243
19;3092,11;54570
18;3318,09;62454
23;3469,18;84617
20;3506,71;83612
18;3201,49;57918
18;3468,18;67888
18;3037,53;54105
18;3230,31;54726
18;3470,38;70904
18;3212,13;65566
19;3381,14;64249
18;3426,33;64464
19;3186,35;56954
21;3131,96;64363
18;3450,74;58297
18;3510,52;62679
18;3468,23;67675
18;3540,9;61514
18;3562,12;61513
18;3414,84;62536
18;3708,01;65701
18;3386,83;60777
19;3326,19;58303
18;3367,9;57356
19;3506;68504
18;3267,89;54976
18;3326,51;57756
18;3422,85;61112
25;2987,73;70982
18;3487,18;58489
19;3111,54;55492
18;3675,71;58564
19;3368,85;66131
53;3520,75;184510
19;3374,13;62862
19;3303,56;70221
18;3240,04;63744
20;3408,32;74280
18;3089,68;46249
19;3603,39;70711
18;3495,06;65010
19;3675,92;73674
18;3217,32;54847
20;3251,67;64660
18;3396,99;62996
18;3575,76;63018
19;3060,02;60208
32;3375,81;104410
19;3076,55;57581
19;3488,14;68691
38;3611,06;137497
18;3211,9;59326
27;3821,62;114609
18;3237,98;48695
18;3278,87;57883
18;3451,91;60566
24;3460,62;87321
18;3451,77;60454
18;3343,23;67451
23;3593,43;81388
25;3577,14;91108
19;3141,37;65057
19;3364,16;62441
18;3219,59;52683
18;3478,75;67284
19;3524,54;64699
18;3807,77;73752
27;2893,97;79682
24;3310,92;78290
20;3239,57;58820
19;3329,66;62240
18;3315,57;54783
21;3314,68;73683
18;3309,87;65451
18;3585,69;74598
18;3252,32;56830
18;3502,94;68722
18;3348,35;61828
18;3664,95;69072
18;3509,84;62771
20;3623,79;76947
21;3093,13;72924
22;3289,5;68725
18;3590,04;61981
19;3485,91;63947
18;3616,65;70190
19;3345,11;73075
18;3590,17;68455
18;3444,26;66796
18;3402,97;58516
18;3233,72;55775
18;3371;67332
18;3178,4;55300
20;3479,02;67890
19;3454,07;68092
18;3555,21;65732
18;3395,79;62104
22;3429,81;74731
18;3604,14;66105
18;3602,57;65557
18;3513,1;50527
18;3551,31;60214
18;3640;60044
18;3523,4;60396
18;3373,93;60637
18;3461,38;64016
27;3517,89;87275
18;3156,56;55383
24;3602,33;83882
18;3531,04;66671
23;3457,37;77819
18;3383,54;58765
19;3596,12;69190
18;3490,45;63506
18;3577,46;66785
18;3405,27;58242
18;3113,92;63369
18;3831,37;74877
18;3292,9;61594
24;3179,86;71156
21;3553,29;77443
18;3668,23;67578
19;3317,69;64428
18;3457,77;67621
19;3589,78;71864
26;3022,56;78230
18;3351,22;62179
60;3324,49;201183
19;3493,57;61124
18;3499,08;69084
18;3381,46;58466
22;3784,33;79437
20;3385,94;70989
18;3288,46;59130
18;3311,66;73117
18;3395,81;60448
61;3181,76;200761
19;3580,15;67278
24;3218,32;84473
18;3737,46;65445
37;3292,43;121316
18;3332,2;61297
18;3486,3;70646
18;3572,88;65334
29;3426,95;95068
18;3786,73;72513
18;3118,55;65545
18;3182,26;58143
18;3294,85;50685
18;3369,07;55440
20;3521,1;69799
18;3259,94;56477
18;3471,67;65366
18;3181,55;59433
18;3639,77;70152
19;3622,21;68181
22;3397,64;73611
25;3167,26;75426
18;3412,65;62215
18;3344,04;59491
18;3508,53;63077
18;3472,01;68131
18;3289,22;57779
18;3695,19;58519
18;3594,23;64403
29;3560,51;112747
18;3333,57;60670
18;3408,64;66445
20;3523,98;72193
18;3690,55;63633
38;2852,31;108802
20;3124,56;59203
23;3430,58;80341
18;3483,84;61308
18;3558,32;73024
18;3316,36;57150
18;3440,19;64625
18;3388,95;59372
18;3306;64914
20;3474,41;66216
18;3309,18;60352
18;3440,88;70668
18;3690,59;61184
18;3466,86;58233
18;3497,62;56014
185;2592,63;477869
18;3522,11;66573
18;3568,5;62060
18;3453,97;62842
19;3253,44;59070
18;3436,47;52323
18;3016,1;53722
18;3644,35;57935
18;3489,84;69000
19;3584,57;71375
18;3284,49;58308
18;3483,62;64035
19;3123,33;57781
18;3769,12;71424
18;3390,64;59526
20;3276,42;70092
19;3314,98;57985
18;3274,94;63620
18;3229,33;57642
19;3354,49;60973
18;3237,05;62670
18;3206,71;64803
18;3296,77;54478
18;3686,44;64807
18;3422,33;62320
27;3536,4;98085
18;3416,51;73133
19;3827,45;69852
18;3406,91;65257
19;3463,67;57879
18;3362,39;60495
30;3238,62;99424
19;3231,03;58687
18;3212,85;54400
18;3107,23;50463
19;3715,17;67972
18;3226,42;60565
18;3568,96;63291
18;3440,77;62935
18;3448,57;63148
18;3426,57;56086
25;3613,41;94984
21;3239,19;65181
18;3457,93;63974
19;3550,87;62055
18;3578,5;58540
18;3107,49;62962
18;3614,9;59641
18;3367,15;60552
18;3312,81;64877
19;3621,37;66233
20;3523,05;70242
34;3467,78;117635
18;3343,85;64461
19;3635,04;72508
19;3063,48;61725
18;3781,51;70973
18;3283,33;55824
18;3244,46;58971
